station_name,County,latitude,longitude,ring_number,core_number,nominal_depth,sampling_date_1,Ksat_cm_per_day,Ksat_cm_per_hr,sand,clay,silt,textural_class,bulk_density,particle_density,porosity,vwc_sat,vwc_field,vwc_2kPa,vwc_5kPa,vwc_10kPa,vwc_33kPa,vwc_70kPa,vwc_1500kPa,vwc_air_dry_2day,vwc_ovendry_40,theta_s_vanGenuchten,theta_r_vanGenuchten,alpha_vanGenuchten,n_vanGenuchten,thermal_cond_sat,thermal_cond_5kPa,thermal_cond_10kPa,thermal_cond_33kPa,thermal_cond_70kPa,thermal_cond_air_dry_2day,thermal_cond_ovendry_40,heat_capacity_sat,heat_capacity_5kPa,heat_capacity_10kPa,heat_capacity_33kPa,heat_capacity_70kPa,heat_capacity_air_dry_2day,heat_capacity_ovendry_40,diffussivity_sat,diffussivity_5kPa,diffussivity_10kPa,diffussivity_33kPa,diffussivity_70kPa,diffussivity_air_dry_2day,diffussivity_ovendry_40,L_dry,a_dry,b_dry,L_wet,a_wet,b_wet,total_N,total_C,Ca,Mg,Na,OM,P,pH,pHBuf,K,Observations
Ashland Bottoms,Riley,39.12584,-96.63643,13,2,5,6/27/2018 0:00,13223.2,551.0,8.6,33.2,58.2,silty clay loam,1.29,2.54,0.49,0.43,0.24,0.41,0.39,0.38,0.33,0.30,0.15,,0.02,0.42,0.01,0.08,1.22,1.42,,,1.22,,,,3.10,,,2.57,,,,0.46,,,0.48,,,,41.00,5.80,12.30,26.00,5.40,9.70,,,,,,,,,,,roots
Ashland Bottoms,Riley,39.12584,-96.63643,14,2,10,6/27/2018 0:00,13.9,0.6,5.0,37.2,57.8,silty clay loam,1.34,2.53,0.47,0.44,0.19,0.41,0.38,0.37,0.31,0.30,0.17,,0.01,0.43,0.01,0.20,1.16,1.41,,,1.37,,,,2.99,,,2.93,,,,0.47,,,0.47,,,,28.90,5.50,9.30,26.20,5.30,8.50,,,,,,,,,,,
Ashland Bottoms,Riley,39.12584,-96.63643,15,2,20,6/27/2018 0:00,11699.0,487.5,2.6,50.7,46.8,silty clay,1.29,2.54,0.49,0.45,0.25,0.43,0.41,0.40,0.37,0.36,0.22,,0.01,0.44,0.01,0.09,1.13,1.25,,,1.21,,,,3.19,,,3.11,,,,0.39,,,0.39,,,,41.10,6.50,11.80,28.90,6.40,10.70,,,,,,,,,,,roots  causing high flow
Ashland Bottoms,Riley,39.12584,-96.63643,16,2,50,6/27/2018 0:00,20.9,0.9,2.8,44.1,53.1,silty clay,1.35,2.68,0.50,0.44,0.24,0.42,0.39,0.38,0.35,0.34,0.21,,0.02,0.44,0.01,0.16,1.13,1.34,,,1.26,,,,3.03,,,2.58,,,,0.44,,,0.49,,,,43.10,6.50,13.90,29.80,6.20,11.80,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,17,1,5,6/27/2018 0:00,3.6,0.2,,,,silty clay,1.27,2.54,0.50,0.42,0.30,0.43,0.42,0.41,0.38,0.37,0.12,,0.02,0.42,0.01,0.01,1.49,1.42,,,1.41,,,0.43,3.17,,,2.78,,,1.12,0.45,,,0.51,,,0.38,,,,,,,0.26,2.7,2037.2,266.6,103.1,4.8,16.1,6.0,6.7,506.2,
Clay Center,Clay,39.41722,-97.13926,18,1,10,6/27/2018 0:00,38.3,1.6,,,,silt loam,1.36,2.52,0.46,0.42,0.26,0.44,0.41,0.40,0.32,0.31,0.13,,0.01,0.43,0.01,0.05,1.28,1.44,,,1.23,,,0.43,3.27,,,2.72,,,1.36,0.44,,,0.45,,,0.31,,,,,,,0.17,1.8,1986.9,259.0,107.4,3.2,5.9,6.2,6.7,385.0,
Clay Center,Clay,39.41722,-97.13926,19,1,20,6/27/2018 0:00,160.9,6.7,,,,silt loam,1.30,2.56,0.49,0.57,0.17,0.44,0.40,0.38,0.33,0.28,0.13,,0.01,0.57,0.01,1.00,1.18,1.42,,,1.25,,,0.50,3.56,,,2.61,,,1.38,0.40,,,0.48,,,0.36,,,,,,,0.15,1.6,2169.2,361.7,104.1,3.0,2.9,6.2,6.7,269.4,
Clay Center,Clay,39.41722,-97.13926,20,1,50,6/27/2018 0:00,102.6,4.3,,,,silty clay loam,1.22,2.66,0.54,0.57,0.17,0.41,0.36,0.35,0.30,0.28,0.12,,0.01,0.55,0.02,1.00,1.20,1.32,,,1.09,,,0.42,3.11,,,2.44,,,1.66,0.42,,,0.44,,,0.25,,,,,,,0.10,0.9,2874.1,569.4,146.3,2.2,1.2,6.9,7.0,279.0,
Clay Center,Clay,39.41722,-97.13926,21,2,5,6/27/2018 0:00,1.9,0.1,12,43,45,silty clay,1.34,2.52,0.47,0.56,0.31,0.42,0.41,0.41,0.38,0.37,0.11,,0.02,0.46,0.01,0.02,1.41,1.48,,,1.30,,,,3.08,,,3.20,,,,0.48,,,0.41,,,,44.10,6.70,12.00,22.20,4.70,7.60,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,22,2,10,6/27/2018 0:00,107.4,4.5,9,25,65,silt loam,1.42,2.62,0.46,0.55,0.25,0.42,0.41,0.40,0.32,0.27,0.12,,0.01,0.54,0.01,0.74,1.19,1.53,,,1.36,,,,2.89,,,2.49,,,,0.53,,,0.55,,,,44.90,6.30,11.80,26.20,5.50,8.90,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,23,2,20,6/27/2018 0:00,100.2,4.2,9,27,64,silt loam,1.34,2.54,0.47,0.56,0.14,0.43,0.39,0.38,0.32,0.26,0.11,,0.01,0.56,0.01,1.00,1.19,1.42,,,1.23,,,,3.31,,,2.69,,,,0.43,,,0.46,,,,43.80,6.90,12.90,24.70,5.60,8.70,,,,,,,,,,,
Clay Center,Clay,39.41722,-97.13926,24,2,50,6/27/2018 0:00,784.0,32.7,6,36,58,silty clay loam,1.22,2.57,0.53,0.55,0.17,0.39,0.34,0.32,0.28,0.26,0.16,,0.01,0.54,0.16,1.00,1.39,1.36,,,1.14,,,,3.12,,,2.54,,,,0.43,,,0.45,,,,48.30,7.10,14.50,28.90,6.20,11.00,,,,,,,,,,,
Washington,Washington,39.7812,-97.05978,25,1,5,7/20/2018 0:00,146.8,6.1,,,,clay loam,1.41,2.62,0.46,0.45,0.21,0.42,0.39,0.37,0.35,0.31,0.16,,0.01,0.43,0.01,0.08,1.20,1.62,,,1.57,,,0.48,3.14,,,2.78,,,1.44,0.52,,,0.57,,,0.33,,,,,,,0.12,1.8,1952.8,419.8,55.5,3.3,2.0,5.6,6.4,180.0,
Washington,Washington,39.7812,-97.05978,26,1,10,7/20/2018 0:00,527.7,22.0,,,,clay loam,1.44,2.60,0.45,0.43,0.20,0.40,0.37,0.35,0.30,0.28,0.15,,0.01,0.43,0.01,0.28,1.16,1.60,,,1.42,,,0.49,2.99,,,2.55,,,1.39,0.53,,,0.56,,,0.35,,,,,,,0.11,1.3,1937.3,405.5,57.0,2.8,1.0,5.4,6.4,141.6,
Washington,Washington,39.7812,-97.05978,27,1,20,7/20/2018 0:00,331.4,13.8,,,,clay loam,1.35,2.50,0.46,0.46,0.23,0.42,0.37,0.36,0.31,0.29,0.17,,0.01,0.46,0.01,0.56,1.15,1.63,,,1.45,,,0.65,2.93,,,2.64,,,1.34,0.56,,,0.55,,,0.48,,,,,,,0.09,1.0,2213.0,469.4,79.7,2.4,0.6,6.0,6.6,153.1,
Washington,Washington,39.7812,-97.05978,28,1,50,7/20/2018 0:00,1.7,0.1,,,,clay loam,1.46,2.63,0.45,0.41,0.28,0.37,0.36,0.35,0.32,0.31,0.19,,0.01,0.39,0.01,0.10,1.14,1.80,,,1.62,,,0.82,2.96,,,2.67,,,1.65,0.61,,,0.61,,,0.49,,,,,,,0.06,0.5,2585.1,586.1,116.0,1.5,0.4,6.3,6.8,180.9,
Washington,Washington,39.7812,-97.05978,29,2,5,7/20/2018 0:00,152.3,6.3,24,31,45,clay loam,1.35,2.47,0.45,0.43,0.21,0.40,0.38,0.36,0.31,0.29,0.15,,0.01,0.42,0.01,0.15,1.19,1.70,,,1.45,,,,3.16,,,2.48,,,,0.54,,,0.59,,,,45.80,8.30,16.10,25.80,8.50,12.70,,,,,,,,,,,
Washington,Washington,39.7812,-97.05978,30,2,10,7/20/2018 0:00,404.4,16.9,25,29,45,clay loam,1.45,2.64,0.45,0.44,0.19,0.40,0.36,0.35,0.30,0.29,0.15,,0.01,0.43,0.01,0.35,1.16,1.71,,,1.51,,,,3.04,,,2.85,,,,0.56,,,0.53,,,,51.40,11.50,20.00,29.90,9.00,14.40,,,,,,,,,,,
Washington,Washington,39.7812,-97.05978,31,2,20,7/20/2018 0:00,88.0,3.7,21,35,44,clay loam,1.39,2.67,0.48,0.44,0.22,0.41,0.36,0.35,0.30,0.29,0.16,,0.01,0.45,0.01,0.53,1.14,1.61,,,1.45,,,,2.53,,,2.48,,,,0.64,,,0.59,,,,45.40,10.30,18.30,30.20,10.60,14.30,,,,,,,,,,,
Washington,Washington,39.7812,-97.05978,32,2,50,7/20/2018 0:00,28.0,1.2,21,36,43,clay loam,1.44,2.67,0.46,0.38,0.27,0.36,0.35,0.34,0.32,0.31,0.19,,0.01,0.37,0.01,0.05,1.16,1.54,,,1.41,,,,2.67,,,2.78,,,,0.58,,,0.51,,,,51.10,10.60,17.90,33.70,10.20,15.40,,,,,,,,,,,
Belleville 2W,Republic,39.814,-97.6751,33,1,5,7/20/2018 0:00,86.7,3.6,,,,silt loam,1.21,2.41,0.50,0.48,0.09,0.45,0.43,0.42,0.31,0.29,0.13,,0.01,0.47,0.01,0.11,1.27,1.37,,,1.14,1.08,,0.35,3.08,,,2.58,2.28,,1.39,0.45,,,0.44,0.47,,0.26,,,,,,,0.26,2.8,2376.0,234.6,216.2,4.7,148.0,6.1,6.7,782.4,
Belleville 2W,Republic,39.814,-97.6751,34,1,10,7/20/2018 0:00,170.3,7.1,,,,silty clay loam,1.26,2.54,0.50,0.46,0.12,0.42,0.40,0.39,0.35,0.32,0.14,,0.02,0.43,0.01,0.04,1.27,1.31,,,1.22,1.14,,0.32,3.01,,,2.47,2.53,,1.12,0.44,,,0.49,0.45,,0.29,,,,,,,0.20,2.0,2192.6,244.6,212.5,3.6,216.0,5.8,6.4,782.5,
Belleville 2W,Republic,39.814,-97.6751,35,1,20,7/20/2018 0:00,15.3,0.6,,,,silty clay loam,1.14,2.50,0.54,0.51,0.14,0.42,0.40,0.39,0.36,0.29,0.14,,0.01,0.48,0.01,0.24,1.19,1.10,,,0.99,1.10,,,3.20,,,2.29,2.43,,,0.35,,,0.43,0.45,,,,,,,,,0.16,1.8,2722.8,336.3,206.4,3.3,325.0,6.7,6.9,1158.6,
Belleville 2W,Republic,39.814,-97.6751,36,1,50,7/20/2018 0:00,,,,,,silty clay,1.09,2.60,0.58,0.55,0.37,0.56,0.53,0.52,0.53,0.52,0.20,,0.02,0.55,0.01,0.01,1.37,1.06,,,1.19,1.19,,,3.11,,,3.19,3.30,,,0.34,,,0.37,0.36,,,,,,,,,0.12,1.3,3023.9,452.7,397.1,2.7,165.0,7.5,7.2,2262.3,shrink_swell
Belleville 2W,Republic,39.814,-97.6751,37,2,5,7/20/2018 0:00,218.0,9.1,12,22,67,silt loam,1.12,2.50,0.55,0.54,0.10,0.49,0.44,0.43,0.32,0.30,0.14,,0.02,0.53,0.01,0.26,1.22,1.18,,,0.98,0.90,,0.24,3.15,,,2.24,2.04,,1.09,0.37,,,0.44,0.44,,0.22,43.40,5.00,8.90,22.40,4.10,6.20,,,,,,,,,,,
Belleville 2W,Republic,39.814,-97.6751,38,2,10,7/20/2018 0:00,61.5,2.6,11,28,61,silty clay loam,1.24,2.62,0.53,0.48,0.15,0.43,0.41,0.40,0.35,0.34,0.17,,0.02,0.45,0.01,0.10,1.19,1.31,,,1.25,1.16,,0.39,2.93,,,2.78,2.86,,1.22,0.45,,,0.45,0.41,,0.32,39.30,4.20,7.90,17.90,2.90,4.50,,,,,,,,,,,
Belleville 2W,Republic,39.814,-97.6751,39,2,20,7/20/2018 0:00,6.1,0.3,10,29,60,silty clay loam,1.23,2.57,0.52,0.48,0.15,0.44,0.42,0.42,0.35,0.33,0.17,,0.02,0.46,0.01,0.10,1.20,1.38,,,1.25,1.20,,0.37,2.80,,,2.63,2.57,,1.11,0.49,,,0.48,0.47,,0.33,41.90,4.10,8.40,21.40,3.50,5.40,,,,,,,,,,,
Belleville 2W,Republic,39.814,-97.6751,40,2,50,7/20/2018 0:00,,,7,45,48,silty clay,1.08,2.62,0.59,0.55,0.47,0.61,0.58,0.57,0.54,0.52,0.21,,0.02,0.58,0.01,0.01,1.38,1.05,,,1.14,1.13,,,3.10,,,3.27,3.22,,,0.34,,,0.35,0.35,,,41.00,4.70,9.30,18.80,3.40,5.20,,,,,,,,,,,shrink_swell
Osborne,Osborne,39.45441,-98.70357,41,1,5,7/20/2018 0:00,121.8,5.1,,,,silt loam,1.19,2.50,0.52,0.46,0.28,0.44,0.41,0.41,0.30,0.27,0.13,,0.01,0.45,0.05,0.11,1.31,1.35,,,1.15,1.02,,0.37,2.93,,,2.41,2.17,,1.39,0.46,,,0.48,0.47,,0.27,,,,,,,0.20,2.1,2221.1,242.3,217.1,3.6,18.1,5.8,6.5,412.1,
Osborne,Osborne,39.45441,-98.70357,42,1,10,7/20/2018 0:00,345.3,14.4,,,,silty clay loam,1.28,2.62,0.51,0.46,0.15,0.42,0.39,0.39,0.32,0.17,0.18,,0.02,0.41,0.17,0.03,5.00,1.29,,,1.14,1.10,,0.33,2.89,,,2.51,2.48,,0.93,0.45,,,0.45,0.45,,0.35,,,,,,,0.14,1.4,2975.0,345.8,221.7,3.0,9.5,6.4,6.8,272.2,
Osborne,Osborne,39.45441,-98.70357,43,1,20,7/20/2018 0:00,167.0,7.0,,,,silty clay loam,1.31,2.70,0.51,0.48,0.17,0.43,0.40,0.40,0.34,0.32,0.23,,0.02,0.48,0.01,0.99,1.10,1.27,,,1.17,1.09,,0.35,2.84,,,2.61,2.83,,0.99,0.45,,,0.45,0.39,,0.35,,,,,,,0.11,1.2,3713.1,485.8,204.6,2.6,7.3,6.6,6.9,337.2,
Osborne,Osborne,39.45441,-98.70357,44,1,50,7/20/2018 0:00,10.9,0.5,,,,silty clay loam,1.24,2.63,0.53,0.52,0.16,0.45,0.41,0.41,0.34,0.30,0.21,,0.02,0.53,0.02,1.00,1.13,1.09,,,1.04,0.93,,0.45,2.98,,,2.44,2.26,,1.51,0.37,,,0.42,0.41,,0.30,,,,,,,0.08,0.7,3873.5,536.0,218.9,1.8,21.9,7.5,7.3,373.4,
Osborne,Osborne,39.45441,-98.70357,45,2,5,7/20/2018 0:00,863.9,36.0,14,24,62,silt loam,1.09,2.68,0.59,0.47,0.24,0.41,0.37,0.37,0.27,0.25,0.13,,0.02,0.47,0.01,0.40,1.20,1.28,,,0.97,1.00,,0.35,3.21,,,2.13,2.18,,1.37,0.40,,,0.46,0.46,,0.25,50.80,7.00,13.20,27.20,4.70,7.60,,,,,,,,,,,
Osborne,Osborne,39.45441,-98.70357,46,2,10,7/20/2018 0:00,9368.3,390.3,11,32,57,silty clay loam,1.06,2.54,0.58,0.54,0.14,0.40,0.37,0.37,0.31,0.27,0.16,,0.02,0.53,0.06,1.00,1.20,0.99,,,0.81,0.79,,0.28,2.82,,,1.93,1.71,,1.16,0.35,,,0.42,0.46,,0.24,46.30,6.00,11.30,25.50,4.60,7.30,,,,,,,,,,,macropores
Osborne,Osborne,39.45441,-98.70357,47,2,20,7/20/2018 0:00,451.7,18.8,8,36,56,silty clay loam,1.06,2.56,0.59,0.57,0.17,0.43,0.39,0.38,0.31,0.27,0.17,,0.02,0.56,0.10,1.00,1.24,1.08,,,0.78,0.89,,0.28,3.06,,,1.90,2.16,,1.27,0.35,,,0.41,0.41,,0.22,46.70,5.70,11.80,27.20,4.40,8.10,,,,,,,,,,,
Osborne,Osborne,39.45441,-98.70357,48,2,50,7/20/2018 0:00,16.3,0.7,8,36,56,silty clay loam,1.16,2.54,0.54,0.56,0.17,0.49,0.44,0.44,0.36,0.32,0.18,,0.03,0.56,0.01,0.53,1.16,1.10,,,1.12,0.93,,0.39,3.02,,,2.56,2.41,,1.58,0.37,,,0.44,0.39,,0.25,58.70,6.70,15.20,31.00,6.30,12.00,,,,,,,,,,,
Mitchell,Mitchell,39.43725,-98.21011,49,1,5,7/20/2018 0:00,526.0,21.9,,,,silty clay loam,1.13,2.57,0.56,0.50,0.14,0.45,0.40,0.40,0.32,0.30,0.18,,0.02,0.50,0.01,0.63,1.15,1.25,,,1.18,0.81,,0.35,3.09,,,2.75,1.82,,1.09,0.40,,,0.43,0.45,,0.32,,,,,,,0.21,2.3,3609.7,210.9,150.7,4.2,23.0,6.9,7.1,577.7,
Mitchell,Mitchell,39.43725,-98.21011,50,1,10,7/20/2018 0:00,2291.6,95.5,,,,silty clay loam,1.14,2.52,0.55,0.47,0.14,0.39,0.36,0.36,0.30,0.28,0.18,,0.01,0.46,0.03,1.00,1.14,1.14,,,1.03,0.88,,0.28,2.91,,,2.31,2.07,,1.28,0.39,,,0.45,0.42,,0.22,,,,,,,0.16,1.7,3755.2,200.2,188.9,3.3,19.6,7.4,7.2,481.2,
Mitchell,Mitchell,39.43725,-98.21011,51,1,20,7/20/2018 0:00,346.8,14.4,,,,silty clay loam,1.15,2.54,0.55,0.50,0.15,0.42,0.38,0.38,0.30,0.28,0.19,,0.02,0.50,0.06,1.00,1.17,1.13,,,1.07,0.88,,0.19,2.76,,,2.67,2.32,,0.71,0.41,,,0.40,0.38,,0.27,,,,,,,0.14,1.5,3973.2,226.6,177.8,3.3,11.4,7.2,7.1,380.5,
Mitchell,Mitchell,39.43725,-98.21011,52,1,50,7/20/2018 0:00,,,,,,silty clay loam,1.14,2.56,0.55,0.56,0.31,0.51,0.45,0.45,0.37,0.33,0.23,,0.03,0.57,0.06,0.80,1.15,1.04,,,1.11,0.90,,0.35,2.98,,,2.68,2.43,,1.40,0.35,,,0.41,0.37,,0.25,,,,,,,0.08,0.8,4263.9,432.7,261.4,2.1,10.1,7.4,7.2,349.7,shrink_swell
Mitchell,Mitchell,39.43725,-98.21011,53,2,5,7/20/2018 0:00,469.2,19.5,8,40,52,silty clay loam,1.01,2.46,0.59,0.54,0.14,0.51,0.44,0.44,0.33,0.31,0.16,0.17,0.03,0.54,0.01,0.29,1.20,1.20,,,1.06,0.96,0.89,0.38,3.04,,,2.29,2.52,2.20,1.22,0.39,,,0.46,0.38,0.41,0.31,44.30,6.00,10.20,24.40,4.40,6.80,,,,,,,,,,,
Mitchell,Mitchell,39.43725,-98.21011,54,2,10,7/20/2018 0:00,12.9,0.5,10,28,62,silty clay loam,1.33,2.60,0.49,0.44,0.18,0.44,0.44,0.44,0.36,0.34,0.21,0.19,0.04,0.45,0.17,0.04,1.46,1.37,,,1.30,1.20,0.82,0.38,3.31,,,2.79,2.57,2.03,1.25,0.41,,,0.47,0.47,0.40,0.30,49.30,6.10,11.30,22.30,3.60,6.90,,,,,,,,,,,
Mitchell,Mitchell,39.43725,-98.21011,55,2,20,7/20/2018 0:00,457.7,19.1,6,29,64,silty clay loam,1.17,2.54,0.54,0.53,0.19,0.48,0.44,0.44,0.36,0.31,0.20,0.18,0.04,0.53,0.01,0.33,1.16,1.16,,,1.17,0.84,0.67,0.36,2.93,,,2.54,2.13,1.90,1.36,0.40,,,0.46,0.39,0.36,0.26,47.90,6.10,11.90,29.60,4.70,8.80,,,,,,,,,,,
Mitchell,Mitchell,39.43725,-98.21011,56,2,50,7/20/2018 0:00,37.8,1.6,4,36,60,silty clay loam,1.19,2.68,0.56,0.55,0.18,0.50,0.45,0.45,0.35,0.30,0.23,0.14,0.02,0.54,0.18,0.29,1.35,1.05,,,1.02,1.00,0.80,0.31,2.95,,,2.33,2.30,1.99,1.21,0.36,,,0.44,0.43,0.40,0.25,52.60,7.00,14.10,36.20,6.90,13.10,,,,,,,,,,,
Gypsum,Saline,38.72509,-97.44423,57,1,5,7/23/2018 0:00,10.5,0.4,,,,silty clay loam,1.42,2.67,0.47,0.38,0.22,0.38,0.36,0.36,0.29,0.27,0.18,0.14,0.02,0.38,0.16,0.07,1.45,1.51,,,1.41,1.43,1.09,0.43,3.27,,,2.31,2.43,1.29,1.38,0.46,,,0.61,0.59,0.84,0.31,,,,,,,0.12,1.3,2122.6,583.0,36.7,2.5,15.9,6.3,6.7,404.5,
Gypsum,Saline,38.72509,-97.44423,58,1,10,7/23/2018 0:00,51.9,2.2,,,,silty clay loam,1.40,2.66,0.47,0.39,0.16,0.39,0.37,0.37,0.28,0.25,0.20,0.12,0.02,0.39,0.19,0.07,1.75,1.52,,,1.24,1.26,1.04,0.38,3.35,,,2.06,2.27,1.47,1.10,0.45,,,0.60,0.56,0.71,0.35,,,,,,,0.13,1.6,2411.5,606.5,40.3,3.0,24.1,6.8,6.9,236.8,
Gypsum,Saline,38.72509,-97.44423,59,1,20,7/23/2018 0:00,40.3,1.7,,,,silty clay loam,1.29,2.61,0.51,0.50,0.14,0.48,0.43,0.43,0.29,0.27,0.17,0.13,0.02,0.49,0.15,0.11,1.55,1.42,,,1.33,1.33,1.01,0.37,3.04,,,2.41,2.82,2.05,0.73,0.47,,,0.55,0.47,0.49,0.51,,,,,,,0.12,1.4,2285.8,561.0,33.1,2.6,26.6,6.2,6.8,224.6,
